BLOCO_4|GESTAO_DE_OBRAS_E_PROJETOS|BRASIL|VERSAO_2026

ID|Cargo|Aliases|Familia|Senioridade|Descricao|Responsabilidades|Requisitos|Ferramentas|Faixa_CLT_BR_Mensal|PJ_Referencia|Mercado_Premium|Keywords

CC-GOP-001|Supervisor de Obras|Supervisor Civil; Supervisor de Campo|Gestao de Obras|Supervisao|Supervisiona frentes de serviço, produtividade, qualidade e segurança.|Acompanhar equipes; validar execução; reportar avanço; controlar pendências.|Técnico/Engenharia desejável; vivência forte em obra.|Excel; AutoCAD; MS Project básico|R$5.000-R$8.500|R$7.000-R$12.000|Industrial/Data Center +25% a +60%|supervisor obras campo execução

CC-GOP-002|Coordenador de Obras|Coordenador Civil; Coordenador de Campo|Gestao de Obras|Coordenacao|Coordena obras, equipes, terceiros, prazo, custo, qualidade e segurança.|Coordenar frentes; controlar cronograma; gerir empreiteiros; reportar indicadores.|Engenharia Civil; CREA; experiência em obra.|MS Project; AutoCAD; Excel; ERP|R$9.000-R$16.000|R$13.000-R$22.000|Obras técnicas +20% a +50%|coordenador obras civil

CC-GOP-003|Coordenador de Obras Sênior|Coordenador Senior de Obras|Gestao de Obras|Coordenacao Senior|Coordena obras complexas ou múltiplos contratos simultâneos.|Gestão de escopo; medições; interface cliente; gestão de riscos.|Engenharia Civil; forte bagagem em obras complexas.|Primavera P6; MS Project; Power BI|R$13.000-R$22.000|R$18.000-R$30.000|Data Center/Industrial +30% a +70%|coordenador senior obras

CC-GOP-004|Gerente de Obras|Gerente Civil; Gerente de Construção|Gestao de Obras|Gerencia|Gerencia execução integral da obra com foco em prazo, custo, qualidade, segurança e margem.|Gerir orçamento; liderar equipes; negociar terceiros; controlar cronograma; reportar diretoria.|Engenharia Civil; CREA; experiência robusta em gestão.|MS Project; Primavera; ERP; Power BI|R$16.000-R$28.000|R$22.000-R$40.000|Projetos críticos +30% a +80%|gerente obras construção

CC-GOP-005|Gerente de Obras Sênior|Senior Construction Manager|Gestao de Obras|Gerencia Senior|Gerencia obras de alta complexidade, CAPEX elevado ou múltiplas disciplinas.|Governança; riscos; margem; cliente; claims; produtividade.|Engenharia; inglês desejável; experiência em contratos complexos.|Primavera P6; Power BI; ERP; BIM 360|R$22.000-R$38.000|R$30.000-R$55.000|Data Center/O&G +40% a +100%|gerente senior obras

CC-GOP-006|Gerente Regional de Obras|Regional Construction Manager|Gestao de Obras|Gerencia Regional|Gerencia carteira regional de obras, padronização, indicadores e equipes.|Acompanhar obras; auditar desempenho; apoiar gerentes; consolidar resultados.|Engenharia; gestão multiobras; disponibilidade para viagens.|Power BI; ERP; MS Project|R$24.000-R$42.000|R$35.000-R$65.000|Nacional/multi-site +30% a +80%|gerente regional obras

CC-GOP-007|Gerente Geral de Obras|General Construction Manager|Gestao de Obras|Gerencia Executiva|Responde por grandes contratos ou unidade operacional de construção.|P&L; diretoria; clientes; riscos; contratos; resultado operacional.|Engenharia; experiência executiva em construção.|ERP; BI; Primavera; dashboards executivos|R$30.000-R$55.000|R$45.000-R$80.000|Megaobras +50% a +120%|gerente geral obras

CC-GOP-008|Superintendente de Obras|Superintendente de Construção|Gestao de Obras|Executivo|Lidera portfólio de obras, estrutura operacional e resultados da construção.|Governança; estratégia; orçamento; pessoas; margem; relacionamento institucional.|Engenharia; sólida trajetória executiva.|BI; ERP; gestão de portfólio|R$38.000-R$70.000|R$55.000-R$100.000|Data Center/Infra +50% a +150%|superintendente obras

CC-GOP-009|Diretor de Obras|Diretor de Construção; Construction Director|Diretoria|Diretoria|Define estratégia e responde pela performance global das obras.|Estratégia; P&L; governança; clientes; contratos; expansão.|Engenharia; experiência em liderança nacional.|ERP; BI; governança corporativa|R$45.000-R$85.000|R$70.000-R$130.000|Grandes grupos +80% a +180%|diretor obras construção

CC-GOP-010|Diretor de Operações de Obras|COO Construção; Diretor Operacional|Diretoria|C-Level/Executivo|Lidera operações de construção, obras, produção, contratos e resultado.|Definir operação; margem; produtividade; riscos; diretoria executiva.|Engenharia; histórico executivo; alta capacidade de gestão.|BI executivo; ERP; governança|R$55.000-R$110.000|R$90.000-R$180.000|Nacional/industrial +100%+|diretor operações obras

