ID|Cargo_Padrao|CBO_Ref|Aliases|Familia|Senioridade|Descricao|Responsabilidades|Requisitos|NRs_Recomendadas|Faixa_CLT_BR_Mensal|Variacao_Regional|Keywords
CC-OP-001|Servente de Obras|7170-20|Ajudante de obras; Auxiliar de pedreiro; Servente de pedreiro|Operacional de Obra|Operacional I|Apoia atividades gerais no canteiro, transporte de materiais, limpeza, preparação de argamassa e suporte aos oficiais.|Apoiar pedreiros; preparar massa; carregar materiais; limpar frentes de serviço; organizar ferramentas.|Ensino fundamental desejável; experiência básica em obra.|NR-18; NR-06; NR-35 quando aplicável|P25=R$1.650; P50=R$1.850; P75=R$2.100; P90=R$2.400|Interior/NE -10% a -20%; capitais Sudeste/Sul +5% a +25%; obras industriais +15% a +40%|servente; ajudante; obra; canteiro
CC-OP-002|Pedreiro|7152-10|Pedreiro de obra; Oficial pedreiro|Operacional de Obra|Operacional II|Executa alvenaria, concreto, reboco, assentamentos simples e reparos civis conforme projeto e orientação técnica.|Executar alvenaria; chapisco; emboço; reboco; regularização; leitura básica de projeto.|Experiência em construção civil; domínio de ferramentas manuais.|NR-18; NR-06; NR-35 quando aplicável|P25=R$2.200; P50=R$2.550; P75=R$2.900; P90=R$3.400|Capitais e obras complexas podem elevar 10% a 35%|pedreiro; alvenaria; reboco; concreto
CC-OP-003|Pedreiro de Acabamento|7152-10|Pedreiro fino; Oficial de acabamento|Operacional de Obra|Operacional III|Executa serviços de acabamento civil com maior precisão estética e técnica.|Executar requadro; regularização fina; acabamento de vãos; correções; arremates.|Experiência comprovada em acabamento; leitura de prumo, nível e esquadro.|NR-18; NR-06; NR-35 quando aplicável|P25=R$2.500; P50=R$2.900; P75=R$3.400; P90=R$4.200|Alto padrão, hospitalar e data center +20% a +45%|acabamento; arremate; requadro; obra fina
CC-OP-004|Carpinteiro de Obras|7155-25|Carpinteiro; Carpinteiro de obra|Operacional de Obra|Operacional II|Executa estruturas provisórias e definitivas em madeira, apoio a formas, escoramentos e instalações temporárias.|Montar formas simples; cortar madeira; instalar escoramentos; apoiar concretagem.|Experiência com ferramentas de corte; noções de medidas e segurança.|NR-18; NR-06; NR-35 quando aplicável|P25=R$2.300; P50=R$2.650; P75=R$3.000; P90=R$3.500|Obras industriais e estruturas complexas +15% a +35%|carpinteiro; formas; madeira; escoramento
CC-OP-005|Carpinteiro de Fôrmas|7155-35|Carpinteiro de formas; Formeiro|Operacional de Obra|Operacional III|Executa montagem, travamento e desmontagem de fôrmas para concreto armado.|Montar formas; interpretar medidas; travar painéis; apoiar concretagem; desforma.|Experiência com formas de concreto; leitura básica de projeto estrutural.|NR-18; NR-06; NR-35 quando aplicável|P25=R$2.500; P50=R$2.900; P75=R$3.400; P90=R$4.100|Estruturas verticais, pré-moldado e industrial +20% a +40%|formeiro; concreto; estrutura; formas
CC-OP-006|Armador de Estrutura de Concreto|7153-15|Armador; Ferreiro armador|Operacional de Obra|Operacional III|Corta, dobra, arma e posiciona ferragens para estruturas de concreto armado.|Montar armações; cortar aço; dobrar barras; amarrar ferragens; seguir projeto estrutural.|Experiência com armação; leitura básica de projeto estrutural.|NR-18; NR-06; NR-35 quando aplicável|P25=R$2.300; P50=R$2.600; P75=R$2.900; P90=R$3.300|Infraestrutura e obras industriais +15% a +35%|armador; ferragem; concreto armado; estrutura
CC-OP-007|Montador de Andaimes|7155-45|Andaimeiro; Montador de estruturas provisórias|Operacional de Obra|Operacional III|Monta, desmonta e inspeciona andaimes e acessos temporários conforme procedimento de segurança.|Montar andaimes; conferir travamentos; instalar guarda-corpo; sinalizar área; desmontar estruturas.|Treinamento específico; aptidão para altura; experiência em montagem.|NR-18; NR-35; NR-06|P25=R$2.500; P50=R$2.850; P75=R$3.300; P90=R$3.800|Industrial, óleo e gás e data centers +20% a +45%|andaime; altura; acesso; montagem
CC-OP-008|Azulejista / Ladrilheiro|7165-10|Assentador de revestimentos; Revestidor cerâmico|Operacional de Obra|Operacional III|Executa assentamento de pisos, azulejos, porcelanatos, revestimentos e acabamentos cerâmicos.|Preparar base; assentar revestimentos; rejuntar; nivelar; realizar cortes.|Experiência em revestimento; domínio de nível, esquadro e paginação.|NR-18; NR-06|P25=R$2.300; P50=R$2.650; P75=R$3.100; P90=R$3.600|Alto padrão e grandes formatos +20% a +50%|azulejista; porcelanato; piso; revestimento
CC-OP-009|Gesseiro|7164-05|Montador de drywall; Aplicador de gesso|Operacional de Obra|Operacional II|Executa aplicação de gesso, forros, sancas, paredes leves e acabamentos internos.|Montar drywall; aplicar gesso; corrigir superfícies; executar forros; fazer acabamentos.|Experiência com gesso ou drywall; leitura básica de medidas.|NR-18; NR-06; NR-35 quando aplicável|P25=R$2.200; P50=R$2.450; P75=R$2.900; P90=R$3.400|Obras comerciais e hospitalares +15% a +35%|gesseiro; drywall; forro; acabamento
CC-OP-010|Pintor de Obras|7166-10|Pintor predial; Pintor de acabamento|Operacional de Obra|Operacional II|Prepara superfícies e executa pintura interna, externa, texturas e acabamentos.|Lixar; emassar; aplicar selador; pintar; corrigir falhas; proteger áreas.|Experiência em pintura; conhecimento de tintas e preparação de base.|NR-18; NR-06; NR-35 quando aplicável|P25=R$2.100; P50=R$2.450; P75=R$2.800; P90=R$3.300|Fachadas e altura +15% a +40%|pintor; pintura; textura; acabamento
